conference_name,year,acronym,rank
ICLR.cc___2025___Workshop___SCOPE___v2,2025,ICLR,A*
NeurIPS.cc___2023___Workshop___InfoCog___v2,2023,NeurIPS,A*
NeurIPS.cc___2024___Workshop___LXAI___v2,2024,NeurIPS,A*
ICLR.cc___2020___Conference___v1,2020,ICLR,A*
aclweb.org___ACL___ARR___2024___December___v2,2024,ACL,A*
approximateinference.org___AABI___2021___Symposium___v1,2021,404,not-icore
automl.cc___AutoML___2023___ABCD_Track___v1,2023,404,not-icore
ACM.org___TheWebConf___2024___Conference___v2,2024,404,not-icore
ICLR.cc___2022___Workshop___ALOE___v1,2022,ICLR,A*
thecvf.com___ECCV___2024___Workshop___ROAM___v2,2024,ECCV,A*
NeurIPS.cc___2021___Workshop___ICBINB___v1,2021,NeurIPS,A*
humanrobotinteraction.org___HRI___2022___Workshop___VAM-HRI___v1,2022,HRI,A
robot-learning.org___CoRL___2024___Workshop___XE___v2,2024,CoRL,Unranked
NeurIPS.cc___2024___Workshop___MINT___v2,2024,NeurIPS,A*
NeurIPS.cc___2022___Workshop___TEA___v1,2022,NeurIPS,A*
tsinghua.edu.cn___THU___2024___Fall___AML___v2,2024,404,not-icore
swsa.semanticweb.org___ISWC___2024___Workshop___WOP___v2,2024,ISWC,Journal Published
agilealliance.org___XP___2020___Workshop___AMP___v1,2020,XP,B
ICML.cc___2019___Workshop___AMTL___v1,2019,ICML,A*
ICLR.cc___2022___Workshop___DLG4NLP___v1,2022,ICLR,A*
ICRA.org___2022___Workshop___IFRRIA___v1,2022,ICRA,A*
NeurIPS.cc___2024___Workshop___SoLaR___v2,2024,NeurIPS,A*
EMNLP___2024___Workshop___WiNLP___v2,2024,EMNLP,A*
JSYS___2025___March_Papers___v2,2025,404,not-icore
graphicsinterface.org___Graphics_Interface___2021___Conference___Second_Cycle___v1,2021,404,not-icore
thecvf.com___CVPR___2024___Workshop___HuMoGen___v2,2024,CVPR,A*
ICML.cc___2023___Workshop___SODS___v2,2023,ICML,A*
NeurIPS.cc___2024___Workshop___OWA___v2,2024,NeurIPS,A*
NeurIPS.cc___2024___Workshop___SafeGenAi___v2,2024,NeurIPS,A*
aclweb.org___NAACL___2025___Workshop___CALCS___v2,2025,NAACL,A
IEEE.org___2024___ICRA___Workshop___CookingRobot___v2,2024,ICRA,A*
NeurIPS.cc___2020___Workshop___HAMLETS___v1,2020,NeurIPS,A*
NeurIPS.cc___2023___Workshop___Gaze_Meets_ML___v2,2023,NeurIPS,A*
NeurIPS.cc___2024___Workshop___Continual_FoMo___v2,2024,NeurIPS,A*
NeurIPS.cc___2020___Workshop___TDA_and_Beyond___v1,2020,NeurIPS,A*
NeurIPS.cc___2022___Challenge___CellSeg___v1,2022,NeurIPS,A*
ICLR.cc___2022___Workshop___GPL___v1,2022,ICLR,A*
ICLR.cc___2025___Workshop___DL4C___v2,2025,ICLR,A*
IEEE.org___ICIST___2024___Conference___v2,2024,404,not-icore
NeurIPS.cc___2022___Workshop___nCSI___v1,2022,NeurIPS,A*
AAAI.org___2023___Bridge___CCBridge___v1,2023,AAAI,A*
robot-learning.org___CoRL___2021___Conference___Blue_Sky___v1,2021,CoRL,Unranked
NeurIPS.cc___2019___Workshop___Document_Intelligence___v1,2019,NeurIPS,A*
ICLR.cc___2025___Workshop___LLM_Reason_and_Plan___v2,2025,ICLR,A*
IEEE.org___2024___ICRA___Workshop___WIHR___v2,2024,ICRA,A*
TMLR___v2,,404,not-icore
ICLR.cc___2025___Workshop___SLLM___v2,2025,ICLR,A*
eswc-conferences.org___ESWC___2021___Conference___Resources_Track___v1,2021,ESWC,B
NeurIPS.cc___2020___Workshop___LMCA___v1,2020,NeurIPS,A*
aclweb.org___ACL___2022___Workshop___NLP_ConvAI___v1,2022,ACL,A*
NeurIPS.cc___2022___Workshop___DLDE___v1,2022,NeurIPS,A*
NeurIPS.cc___2021___Workshop___AIPLANS___v1,2021,NeurIPS,A*
ICLR.cc___2022___Workshop___OSC___v1,2022,ICLR,A*
continualai.org___CLAI___2023___Unconference_Preregistration_Track___v2,2023,404,not-icore
ICLR.cc___2023___Conference___v1,2023,ICLR,A*
MICCAI.org___2024___Workshop___UNSURE___v2,2024,MICCAI,A
NeurIPS.cc___2024___Workshop___FM4Science___v2,2024,NeurIPS,A*
approximateinference.org___AABI___2023___Symposium___v1,2023,404,not-icore
graphicsinterface.org___Graphics_Interface___2023___Conference_SD___v1,2023,404,not-icore
eswc-conferences.org___ESWC___2023___Workshop___KGCW___v1,2023,ESWC,B
NeurIPS.cc___2024___Workshop___IMOL___v2,2024,NeurIPS,A*
ICML.cc___2020___Workshop___LaReL___v1,2020,ICML,A*
IEEE.org___Ro-MAN___2024___Workshop___InterAI___v2,2024,404,not-icore
NeurIPS.cc___2020___Workshop___DL-IG___v1,2020,NeurIPS,A*
thecvf.com___CVPR___2024___Workshop___MedSAMonLaptop___v2,2024,CVPR,A*
aclweb.org___ACL___ARR___2023___December___v1,2023,ACL,A*
ACM.org___ICMI___2022___Workshop___GENEA___v1,2022,ICMI,B
NeurIPS.cc___2021___Workshop___MetaLearn___v1,2021,NeurIPS,A*
ICLR.cc___2024___Workshop___DPFM___v2,2024,ICLR,A*
NeurIPS.cc___2023___Workshop___DistShift___v2,2023,NeurIPS,A*
ICML.cc___2022___Workshop___AI4Science___v1,2022,ICML,A*
EMNLP___2020___Workshop___NLP-COVID___v1,2020,EMNLP,A*
ACM.org___SIGIR___2024___Workshop___Gen-IR___v2,2024,SIGIR,A*
EMNLP___2024___Workshop___BlackBoxNLP_ARR_Commitment___v2,2024,EMNLP,A*
NeurIPS.cc___2024___Workshop___FITML___v2,2024,NeurIPS,A*
NeurIPS.cc___2023___Workshop___DLDE___v2,2023,NeurIPS,A*
AIS-J.org___2021___Journal___v1,2021,404,not-icore
AAAI.org___2024___Workshop___AI4ED___v2,2024,AAAI,A*
AAAI.org___2025___Workshop___GoodData___v2,2025,AAAI,A*
icaps-conference.org___ICAPS___2022___Workshop___XAIP___v1,2022,ICAPS,A*
NeurIPS.cc___2022___Workshop___AI4Science___v1,2022,NeurIPS,A*
NeurIPS.cc___2023___Workshop___TRL___v2,2023,NeurIPS,A*
AAAI.org___2025___Workshop___MARW___v2,2025,AAAI,A*
auai.org___UAI___2023___Conference___v1,2023,UAI,A
ICML.cc___2018___Workshop___NAMPI___v1,2018,ICML,A*
NeurIPS.cc___2022___Workshop___RobustSeq___v1,2022,NeurIPS,A*
utoronto.ca___University_of_Toronto___2023___CSC2231___v1,2023,404,not-icore
NeurIPS.cc___2023___Workshop___CompSust___v2,2023,NeurIPS,A*
NeurIPS.cc___2022___Workshop___NeurReps___v1,2022,NeurIPS,A*
NeurIPS.cc___2021___Workshop___Deep_Inverse___v1,2021,NeurIPS,A*
robot-learning.org___CoRL___2023___Workshop___OOD___v2,2023,CoRL,Unranked
NeurIPS.cc___2022___Workshop___DeepRL___v1,2022,NeurIPS,A*
aclweb.org___ACL___2024___Workshop___Language_and_Molecules___v2,2024,ACL,A*
aclweb.org___ACL___ARR___2023___June___v1,2023,ACL,A*
Computo___v2,,404,not-icore
ICML.cc___2024___Workshop___MFM-EAI___v2,2024,ICML,A*
iscaconf.org___ISCA___2023___Workshop___ASSYST___v1,2023,ISCA,A*
NeurIPS.cc___2023___Workshop___GCRL___v2,2023,NeurIPS,A*
automl.cc___AutoML___2024___Workshop_Track___v2,2024,404,not-icore
JSYS___2022___Aug_Papers___v1,2022,404,not-icore
ICLR.cc___2024___Workshop___TS4H___v2,2024,ICLR,A*
KDD.org___2023___Workshop___epiDAMIK___v1,2023,KDD,A*
ICLR.cc___2021___Workshop___Learning_to_Learn___v1,2021,ICLR,A*
ICLR.cc___2020___Workshop___DeepDiffEq___v1,2020,ICLR,A*
AKBC.ws___2020___Conference___v1,2020,404,not-icore
aclweb.org___ACL___2022___Workshop___FL4NLP___v1,2022,ACL,A*
ICLR.cc___2022___Workshop___GTRL___v1,2022,ICLR,A*
NeurIPS.cc___2023___Workshop___ALOE___v2,2023,NeurIPS,A*
NeurIPS.cc___2023___Workshop___R0-FoMo___v2,2023,NeurIPS,A*
NeurIPS.cc___2024___Workshop___TRL___v2,2024,NeurIPS,A*
ELLIS.eu___2024___Workshop___RLGMSD___v2,2024,404,not-icore
rl-conference.cc___RLC___2024___Workshop___RLSW___v2,2024,404,not-icore
auai.org___UAI___2024___Workshop___Causal___v2,2024,UAI,A
ICLR.cc___2021___Workshop___EBM___v1,2021,ICLR,A*
FAST.org.ar___2022___Workshop___v1,2022,FAST,A
ijcai.org___IJCAI___2024___Workshop___AIGOV___v2,2024,IJCAI,A*
eswc-conferences.org___ESWC___2021___Workshop___KGCW___v1,2021,ESWC,B
NeurIPS.cc___2024___Workshop___OPT___v2,2024,NeurIPS,A*
KDD.org___2023___Workshop___Cup___v2,2023,KDD,A*
ICML.cc___2024___Workshop___GRaM___v2,2024,ICML,A*
OpenReview.net___Anonymous_Preprint___v1,,404,not-icore
ICLR.cc___2023___Workshop___ML4Materials___v1,2023,ICLR,A*
ICML.cc___2023___Workshop___SPIGM___v2,2023,ICML,A*
approximateinference.org___AABI___2019___Symposium___v1,2019,404,not-icore
ICML.cc___2024___Workshop___WANT___v2,2024,ICML,A*
ICML.cc___2022___Workshop___AI4ABM___v1,2022,ICML,A*
iscaconf.org___ISCA___2022___Workshop___MLArchSys___v1,2022,ISCA,A*
NeurIPS.cc___2024___Workshop___NeurReps___v2,2024,NeurIPS,A*
ICML.cc___2019___Workshop___RL4RealLife___v1,2019,ICML,A*
ICLR.cc___2022___Workshop___AfricaNLP___v1,2022,ICLR,A*
EMNLP___2023___Conference___v2,2023,EMNLP,A*
rl-conference.cc___RLC___2024___Workshop___Finding_the_Frame___v2,2024,404,not-icore
thecvf.com___CVPR___2024___Workshop___SynData4CV___v2,2024,CVPR,A*
NeurIPS.cc___2024___Workshop___InterpretableAI___v2,2024,NeurIPS,A*
ICLR.cc___2021___Workshop___GTRL___v1,2021,ICLR,A*
aclweb.org___ACL___2023___Workshop___DialDoc___v1,2023,ACL,A*
NeurIPS.cc___2023___Workshop___SyntheticData4ML___v2,2023,NeurIPS,A*
BOKU.ac.at___2024___AI4Mat___v2,2024,404,not-icore
aclweb.org___ACL___ARR___2024___June___v2,2024,ACL,A*
NeurIPS.cc___2021___Workshop___ImageNet_PPF___v1,2021,NeurIPS,A*
robot-learning.org___CoRL___2023___Workshop___CRL_WS___v2,2023,CoRL,Unranked
NeurIPS.cc___2022___Workshop___HITY___v1,2022,NeurIPS,A*
NeurIPS.cc___2022___Track___Datasets_and_Benchmarks___v1,2022,NeurIPS,A*
MIDL.io___2022___Conference___Short___v1,2022,404,not-icore
ACML.org___2024___Conference___v2,2024,ACML,Unranked
ICML.cc___2024___Workshop___SPIGM___v2,2024,ICML,A*
EVIC.cl___2023___Summer_School___v2,2023,404,not-icore
ICLR.cc___2024___Conference___v2,2024,ICLR,A*
NeurIPS.cc___2023___Workshop___MLNCP___v2,2023,NeurIPS,A*
auai.org___UAI___2022___Workshop___TPM___v1,2022,UAI,A
JSYS___2022___May_Papers___v1,2022,404,not-icore
ICLR.cc___2022___Workshop___EmeCom___v1,2022,ICLR,A*
NeurIPS.cc___2024___Workshop___D3S3___v2,2024,NeurIPS,A*
thecvf.com___CVPR___2023___Workshop___NFVLR___v2,2023,CVPR,A*
automl.cc___AutoML___2022___Workshop___Late_Breaking___v1,2022,404,not-icore
ICLR.cc___2025___Workshop___HAIC___v2,2025,ICLR,A*
icaps-conference.org___ICAPS___2020___Workshop___HSDIP___v1,2020,ICAPS,A*
ICLR.cc___2023___Workshop___MRL___v1,2023,ICLR,A*
auai.org___UAI___2023___Workshop___TPM___v2,2023,UAI,A
NeurIPS.cc___2022___Workshop___SyntheticData4ML___v1,2022,NeurIPS,A*
NeurIPS.cc___2023___Workshop___UniReps___v2,2023,NeurIPS,A*
AAAI.org___2025___Workshop___PDLM___v2,2025,AAAI,A*
NeurIPS.cc___2022___Workshop___CML4Impact___v1,2022,NeurIPS,A*
ICLR.cc___2024___TinyPapers___v2,2024,ICLR,A*
aclweb.org___ACL___ARR___2021___July___v1,2021,ACL,A*
GSK.ai___2023___CBC___v1,2023,404,not-icore
rl-conference.cc___RLC___2024___Workshop___ICBINB___v2,2024,404,not-icore
auai.org___UAI___2021___Workshop___TPM___v1,2021,UAI,A
ICML.cc___2024___Workshop___AccMLBio___v2,2024,ICML,A*
NeurIPS.cc___2021___Workshop___SVRHM___v1,2021,NeurIPS,A*
AAAI.org___2025___Workshop___CoLoRAI___v2,2025,AAAI,A*
ijcai.org___IJCAI___2024___Workshop___AIforCI___v2,2024,IJCAI,A*
ICLR.cc___2023___Workshop___ME-FoMo___v1,2023,ICLR,A*
ACM.org___SIGKDD___2022___Workshop___epiDAMIK___v1,2022,404,not-icore
NeurIPS.cc___2020___Workshop___Deep_Inverse___v1,2020,NeurIPS,A*
ICML.cc___2023___Workshop___ILHF___v2,2023,ICML,A*
robot-learning.org___CoRL___2024___Workshop___MRM-D___v2,2024,CoRL,Unranked
ICLR.cc___2024___Workshop___PML4LRS___v2,2024,ICLR,A*
ICML.cc___2023___Workshop___LLW___v2,2023,ICML,A*
robot-learning.org___CoRL___2023___Workshop___RoboLetics___v2,2023,CoRL,Unranked
ICLR.cc___2025___Workshop___MLMP___v2,2025,ICLR,A*
NeurIPS.cc___2021___Workshop___DeepRL___v1,2021,NeurIPS,A*
MICCAI.org___2021___Challenge___VALDO___v1,2021,MICCAI,A
aclweb.org___ACL___ARR___2021___August___v1,2021,ACL,A*
RIIAA.org___2019___Conference___v1,2019,404,not-icore
roboticsfoundation.org___RSS___2024___Workshop___DM___v2,2024,RSS,TBR
ICML.cc___2019___Workshop___Deep_Phenomena___v1,2019,ICML,A*
MIDL.io___2024___Conference___v2,2024,404,not-icore
MIDL.io___2020___Conference___v1,2020,404,not-icore
KDD.org___2024___Workshop___AIDSH___v2,2024,KDD,A*
NeurIPS.cc___2023___Workshop___MASEC___v2,2023,NeurIPS,A*
automl.cc___AutoML___2022___Track___Main___v1,2022,404,not-icore
AAAI.org___2025___Workshop___AIGOV___v2,2025,AAAI,A*
NeurIPS.cc___2024___Workshop___CRL___v2,2024,NeurIPS,A*
ICML.cc___2023___Workshop___LXAI_Regular_Deadline___v2,2023,ICML,A*
ICLR.cc___2023___Workshop___AfricaNLP___v1,2023,ICLR,A*
ALIFE.org___2022___Workshop___WiDWS___v1,2022,ALIFE,C
ICLR.cc___2023___Workshop___MLGH___v1,2023,ICLR,A*
ICML.cc___2024___Workshop___Differentiable_Almost_Everything___v2,2024,ICML,A*
NeurIPS.cc___2022___Workshop___TSRML___v1,2022,NeurIPS,A*
eswc-conferences.org___ESWC___2021___Conference___Research_Track___v1,2021,ESWC,B
NeurIPS.cc___2024___Competition_Track___v2,2024,NeurIPS,A*
NeurIPS.cc___2024___Workshop___AdvML-Frontiers___v2,2024,NeurIPS,A*
kg-construct.github.io___KGCW___2022___Workshop___v1,2022,404,not-icore
aclweb.org___ACL___2022___Workshop___BigScience___v1,2022,ACL,A*
NeurIPS.cc___2023___Workshop___OPT___v2,2023,NeurIPS,A*
IEEE.org___2022___Workshop___altVIS___v1,2022,404,not-icore
MIDL.amsterdam___2018___Conference___v1,2018,404,not-icore
ICLR.cc___2023___Workshop___TSRL4H___v1,2023,ICLR,A*
NeurIPS.cc___2023___Workshop___AI4Mat___v2,2023,NeurIPS,A*
machineintelligence.cc___MIC___2018___Conference___v1,2018,MIC,C
eswc-conferences.org___ESWC___2021___Workshop___SeDiT___v1,2021,ESWC,B
KDD.org___2024___Workshop___OAG-Challenge_Cup___v2,2024,KDD,A*
AKBC.ws___2019___Conference___v1,2019,404,not-icore
NeurIPS.cc___2022___Workshop___OPT___v1,2022,NeurIPS,A*
EMNLP___2023___Workshop___CALCS___v2,2023,EMNLP,A*
NeurIPS.cc___2023___Workshop___GenPlan___v2,2023,NeurIPS,A*
ICML.cc___2023___Workshop___ES-FoMO___v2,2023,ICML,A*
NeurIPS.cc___2022___Workshop___ICBINB___v1,2022,NeurIPS,A*
NeurIPS.cc___2023___Track___Datasets_and_Benchmarks___v2,2023,NeurIPS,A*
robot-learning.org___CoRL___2023___Workshop___TGR___v2,2023,CoRL,Unranked
kaist.ac.kr___KAIST___Spring2020___CS570___v1,2020,404,not-icore
MPM___2022___Workshop___v1,2022,404,not-icore
pwr.edu.pl___Wrocław_University_of_Science_and_Technology___2024___ZPI_Day___v2,2024,404,not-icore
MIDL.io___2023___Conference___v1,2023,404,not-icore
ICML.cc___2023___Workshop___LXAI___v2,2023,ICML,A*
ICLR.cc___2023___Workshop___BANDS___v1,2023,ICLR,A*
MIDL.io___2023___Short_Paper_Track___v1,2023,404,not-icore
icaps-conference.org___ICAPS___2021___Workshop___HSDIP___v1,2021,ICAPS,A*
AAAI.org___2022___Workshop___AIAFS___v1,2022,AAAI,A*
ICLR.cc___2023___Workshop___MLDD___v1,2023,ICLR,A*
NeurIPS.cc___2023___Workshop___Instruction___v2,2023,NeurIPS,A*
NeurIPS.cc___2024___Competition___LMC___v2,2024,NeurIPS,A*
XJTU.edu.cn___2024___CSUC___v2,2024,404,not-icore
NeurIPS.cc___2024___Workshop___Federated_Learning___v2,2024,NeurIPS,A*
logconference.io___LOG___2024___Conference___v2,2024,404,not-icore
ICLR.cc___2024___Workshop_Proposals___v2,2024,ICLR,A*
JSYS___2024___March_Papers___v2,2024,404,not-icore
JSYS___2021___Aug_Papers___v1,2021,404,not-icore
rl-conference.cc___RLC___2024___Workshop___TAFM___v2,2024,404,not-icore
MICCAI.org___2021___Challenge___KiTS___v1,2021,MICCAI,A
NeurIPS.cc___2022___Workshop___Federated_Learning___v1,2022,NeurIPS,A*
tsinghua.edu.cn___THU___2024___Winter___AML___v2,2024,404,not-icore
NLDL.org___2025___Conference___v2,2025,404,not-icore
eswc-conferences.org___ESWC___2025___Workshop___KGCW___v2,2025,ESWC,B
NeurIPS.cc___2023___Workshop___ICBINB___v2,2023,NeurIPS,A*
roboticsfoundation.org___RSS___2019___Workshop___Robust_Autonomy___v1,2019,RSS,TBR
humanrobotinteraction.org___HRI___2025___Workshop___VAM___v2,2025,HRI,A
TimeMachine.eu___RFC___v1,,404,not-icore
thecvf.com___CVPR___2024___Workshop___POETS___v2,2024,CVPR,A*
cclear.cc___CLeaR___2023___Conference___v1,2023,404,not-icore
ICLR.cc___2022___Conference___v1,2022,ICLR,A*
robot-learning.org___CoRL___2022___Workshop___Agility___v1,2022,CoRL,Unranked
L4DC.org___2023___Conference___v1,2023,404,not-icore
NeurIPS.cc___2022___Workshop___MLSW___v1,2022,NeurIPS,A*
NeurIPS.cc___2024___Workshop___GenAI4Health___v2,2024,NeurIPS,A*
aclweb.org___ACL___2022___Workshop___CSRR___v1,2022,ACL,A*
MICCAI.org___2024___Challenge___FLARE___v2,2024,MICCAI,A
NeurIPS.cc___2022___Workshop___MetaLearn___v1,2022,NeurIPS,A*
automl.cc___AutoML___2024___ABCD_Track___v2,2024,404,not-icore
KDD.org___2024___Workshop___epiDAMIK___v2,2024,KDD,A*
humanrobotinteraction.org___HRI___2024___Workshop___VAM-HRI___v2,2024,HRI,A
automl.cc___AutoML___2024___Conference___v2,2024,404,not-icore
mathai.club___MathAI___2025___Conference___v2,2025,404,not-icore
WBIR.info___2022___Workshop___Biomedical_Imaging_Registration___v1,2022,404,not-icore
NeurIPS.cc___2024___Workshop___MusIML___v2,2024,NeurIPS,A*
NeurIPS.cc___2023___Workshop___Federated_Learning___v2,2023,NeurIPS,A*
MICCAI.org___2024___Workshop___MSB___v2,2024,MICCAI,A
MICCAI.org___2022___Challenge___FLARE___v1,2022,MICCAI,A
thecvf.com___CVPR___2024___Workshop___POETS_2nd_Round___v2,2024,CVPR,A*
KDD.org___2024___Workshop___FedKDD___v2,2024,KDD,A*
NeurIPS.cc___2021___Workshop___DBAI___v1,2021,NeurIPS,A*
ICLR.cc___2022___Workshop___DGM4HSD___v1,2022,ICLR,A*
aclweb.org___ACL___ARR___2022___September___v1,2022,ACL,A*
ICLR.cc___2025___Workshop___MLGenX___v2,2025,ICLR,A*
real-robot-challenge.com___RCC___2020___Challenge___v1,2020,404,not-icore
icaps-conference.org___ICAPS___2024___Demo_Track___v2,2024,ICAPS,A*
aclweb.org___ACL___ARR___2022___June___v1,2022,ACL,A*
NeurIPS.cc___2021___Workshop___AI4Science___v1,2021,NeurIPS,A*
robot-learning.org___CoRL___2023___Workshop___LangRob___v2,2023,CoRL,Unranked
roboticsfoundation.org___RSS___2023___Workshop___Symmetry___v1,2023,RSS,TBR
NeurIPS.cc___2023___Workshop___GLFrontiers___v2,2023,NeurIPS,A*
ICLR.cc___2021___Conference___v1,2021,ICLR,A*
NeurIPS.cc___2023___Workshop___XAIA___v2,2023,NeurIPS,A*
eswc-conferences.org___ESWC___2024___Workshop___KGCW___v2,2024,ESWC,B
NeurIPS.cc___2024___Workshop___LanGame___v2,2024,NeurIPS,A*
KDD.org___2024___Workshop___KDD_Cup_CRAG___v2,2024,KDD,A*
NeurIPS.cc___2022___Workshop___InfoCog___v1,2022,NeurIPS,A*
icaps-conference.org___ICAPS___2024___Conference___v2,2024,ICAPS,A*
NeurIPS.cc___2024___Workshop___NeuroAI___v2,2024,NeurIPS,A*
IEEE.org___2018___ITSC___v1,2018,404,not-icore
