index,conference_name,acronym,rank,url
141.0,Application of Computers and Operations Research in the Minerals Industries,APCOMin,A,https://portal.core.edu.au/conf-ranks/141/
147.0,Architectural Support for Programming Languages and Operating Systems,ASPLOS,A*,https://portal.core.edu.au/conf-ranks/147/
150.0,Artificial Intelligence in Medicine,AIIM,A,https://portal.core.edu.au/conf-ranks/150/
153.0,ASCCS International Conference on Steel-Concrete Composite and Hybrid Structures,,A,https://portal.core.edu.au/conf-ranks/153/
168.0,Asian Congress of Fluid Mechanics,,A,https://portal.core.edu.au/conf-ranks/168/
173.0,Asian-Pacific Conference on Computational Mechanics,APCOM,A,https://portal.core.edu.au/conf-ranks/173/
174.0,Asian-Pacific conferences on unsaturated soils,Unsat-Asian,A,https://portal.core.edu.au/conf-ranks/174/
179.0,Asia-Pacific Conference on Engineering Plasticity and Its Applications,,A,https://portal.core.edu.au/conf-ranks/179/
180.0,Asia-Pacific Conference on Materials Processing,,A,https://portal.core.edu.au/conf-ranks/180/
191.0,Aspect-Oriented Software Development,AOSD,A,https://portal.core.edu.au/conf-ranks/191/
192.0,Association for Computer Aided Design in Architecture (ACADIA) Conference,ACADIA,A,https://portal.core.edu.au/conf-ranks/192/
196.0,Association for Computational Linguistics,ACL,A*,https://portal.core.edu.au/conf-ranks/196/
197.0,Association of Researchers in Construction Management Annual Conference,ARCOM,A,https://portal.core.edu.au/conf-ranks/197/
199.0,AUSIMM Orebody Modelling and Strategic Mine Planning Conference,,A,https://portal.core.edu.au/conf-ranks/199/
200.0,AUSIMM Project Evaluation,,A,https://portal.core.edu.au/conf-ranks/200/
202.0,Australasian Coasts and Ports Conference,,A,https://portal.core.edu.au/conf-ranks/202/
218.0,Australasian Congress on Applied Mechanics,,A,https://portal.core.edu.au/conf-ranks/218/
220.0,Australasian Fluid Mechanics Conference,,A,https://portal.core.edu.au/conf-ranks/220/
221.0,Australasian Housing Researchers Conference,AHRC,A,https://portal.core.edu.au/conf-ranks/221/
225.0,Australasian Port and Harbour Conference,,A,https://portal.core.edu.au/conf-ranks/225/
232.0,Australasian Transport Research Forum,ATRF,A,https://portal.core.edu.au/conf-ranks/232/
279.0,Automated Software Engineering Conference,ASE,A*,https://portal.core.edu.au/conf-ranks/279/
287.0,Bluff Body Aerodynamics and Applications,,A,https://portal.core.edu.au/conf-ranks/287/
296.0,British Machine Vision Conference,BMVC,A,https://portal.core.edu.au/conf-ranks/296/
299.0,CAADFutures Biennial conference,CAADFutures,A,https://portal.core.edu.au/conf-ranks/299/
307.0,Centre for Asian and Middle Eastern Architecture conference,CAMEA,A,https://portal.core.edu.au/conf-ranks/307/
314.0,CIRP Life Cycle Engineering Conference,,A,https://portal.core.edu.au/conf-ranks/314/
325.0,"Composite Construction V, Kruger National Park, South Africa, American Society of Civil Engineers",,A,https://portal.core.edu.au/conf-ranks/325/
331.0,Computer Aided Verification,CAV,A*,https://portal.core.edu.au/conf-ranks/331/
334.0,Computer Applications in The Mineral Industries,APCOM,A,https://portal.core.edu.au/conf-ranks/334/
338.0,Computers in Cardiology,,A,https://portal.core.edu.au/conf-ranks/338/
343.0,Conference and Symposium of the International Committee on Aeronautical Fatigue,,A,https://portal.core.edu.au/conf-ranks/343/
346.0,Conference in Uncertainty in Artificial Intelligence,UAI,A,https://portal.core.edu.au/conf-ranks/346/
369.0,Conference on Innovative Data Systems Research,CIDR,A,https://portal.core.edu.au/conf-ranks/369/
370.0,Conference on Integer Programming and Combinatorial Optimization,IPCO,A,https://portal.core.edu.au/conf-ranks/370/
376.0,Conference on Railway Engineering,,A,https://portal.core.edu.au/conf-ranks/376/
387.0,Congress of the Modelling and Simulation Society of Australia and New Zealand,Modsim 03,A,https://portal.core.edu.au/conf-ranks/387/
395.0,Construction Management and Economics Conference,CME 25,A,https://portal.core.edu.au/conf-ranks/395/
397.0,Contact Mechanics,,A,https://portal.core.edu.au/conf-ranks/397/
401.0,Corrosion and Prevention,,A,https://portal.core.edu.au/conf-ranks/401/
415.0,Design and Emotion Society Conferences,D&amp;E,A,https://portal.core.edu.au/conf-ranks/415/
417.0,Design Computing and Cognition,DCC,A,https://portal.core.edu.au/conf-ranks/417/
422.0,Designing Interactive Systems,DIS,A,https://portal.core.edu.au/conf-ranks/422/
448.0,Empirical Methods in Natural Language Processing,EMNLP,A*,https://portal.core.edu.au/conf-ranks/448/
468.0,European Association for Computational Linguistics,EACL,A,https://portal.core.edu.au/conf-ranks/468/
473.0,European Conference on Artificial Intelligence,ECAI,A,https://portal.core.edu.au/conf-ranks/473/
477.0,European Conference on Computational Mechanics,ECCM,A,https://portal.core.edu.au/conf-ranks/477/
479.0,European Conference on Computer Vision,ECCV,A*,https://portal.core.edu.au/conf-ranks/479/
483.0,European Conference on Information Retrieval,ECIR,A,https://portal.core.edu.au/conf-ranks/483/
484.0,European Conference on Information Systems,ECIS,A,https://portal.core.edu.au/conf-ranks/484/
486.0,European Conference on Machine Learning (Joined with PKDD from 2008),ECML,A,https://portal.core.edu.au/conf-ranks/486/
487.0,European Conference on Numerical Methods in Geotechnical Engineering,NUMGE,A,https://portal.core.edu.au/conf-ranks/487/
488.0,European Conference on Object-Oriented Programming,ECOOP,A,https://portal.core.edu.au/conf-ranks/488/
491.0,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),ECML PKDD,A,https://portal.core.edu.au/conf-ranks/491/
